id,provider,external_account_id,external_transaction_id,transaction_date,description,amount,direction,raw_json
1,truelayer,43cea894857fee2f247d618473fcff06,1c51bfa2c6532ab12955f12c756a2ddc,2025-12-29T00:00:00Z,"SUMUP*COFFEE LAB HARPENDEN",3.85,in,"{""timestamp"":""2025-12-29T00:00:00Z"",""description"":""SUMUP*COFFEE LAB HARPENDEN"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":3.85,""currency"":""GBP"",""transaction_id"":""1c51bfa2c6532ab12955f12c756a2ddc"",""provider_transaction_id"":""AT253630056000010076715---0005---20251229"",""normalised_provider_transaction_id"":""txn-a47ac0c7d8b9cc746"",""meta"":{""provider_reference"":""AT253630056000010076715"",""provider_merchant_name"":""HITCHIN COFFEE COMPANY"",""address"":""10 COLESWOOD ROAD, ENG, AL5 1EQ"",""transaction_type"":""Debit"",""provider_id"":""AT253630056000010076715---0005---20251229""}}"
2,truelayer,43cea894857fee2f247d618473fcff06,c1275f2afa60c87fe82807daacc12b95,2025-12-29T00:00:00Z,"UBER EATS HTTPS://HELP.UB",15.19,in,"{""timestamp"":""2025-12-29T00:00:00Z"",""description"":""UBER EATS HTTPS://HELP.UB"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":15.19,""currency"":""GBP"",""transaction_id"":""c1275f2afa60c87fe82807daacc12b95"",""provider_transaction_id"":""AT253630056000010079003---0005---20251229"",""normalised_provider_transaction_id"":""txn-e146e1492776667f7"",""meta"":{""provider_reference"":""AT253630056000010079003"",""provider_merchant_name"":""UBER PAYMENTS"",""address"":""2 LEMAN STREET, ENG, E1 8FA"",""transaction_type"":""Debit"",""provider_id"":""AT253630056000010079003---0005---20251229""}}"
3,truelayer,43cea894857fee2f247d618473fcff06,475f63a4645af677630814c7b6833d48,2025-12-28T00:00:00Z,"CO-OP KNIGHTSFIELD WELWYN GARDEN C",5.0,in,"{""timestamp"":""2025-12-28T00:00:00Z"",""description"":""CO-OP KNIGHTSFIELD WELWYN GARDEN C"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":5,""currency"":""GBP"",""transaction_id"":""475f63a4645af677630814c7b6833d48"",""provider_transaction_id"":""AT253630056000010072628---0005---20251228"",""normalised_provider_transaction_id"":""txn-e2b0f9701a9a588d5"",""meta"":{""provider_reference"":""AT253630056000010072628"",""provider_merchant_name"":""CO-OP FOOD - KNIGHTSFIELD"",""address"":""1-5 SHOPLANDS PARADE, ENG, AL8 7RH"",""transaction_type"":""Debit"",""provider_id"":""AT253630056000010072628---0005---20251228""}}"
4,truelayer,43cea894857fee2f247d618473fcff06,9814973cd19c2e577eb5b41829dd214a,2025-12-28T00:00:00Z,"CO-OP KNIGHTSFIELD WELWYN GARDEN C",7.5,in,"{""timestamp"":""2025-12-28T00:00:00Z"",""description"":""CO-OP KNIGHTSFIELD WELWYN GARDEN C"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":7.5,""currency"":""GBP"",""transaction_id"":""9814973cd19c2e577eb5b41829dd214a"",""provider_transaction_id"":""AT253630056000010072627---0005---20251228"",""normalised_provider_transaction_id"":""txn-69150e4bb1487253c"",""meta"":{""provider_reference"":""AT253630056000010072627"",""provider_merchant_name"":""CO-OP FOOD - KNIGHTSFIELD"",""address"":""1-5 SHOPLANDS PARADE, ENG, AL8 7RH"",""transaction_type"":""Debit"",""provider_id"":""AT253630056000010072627---0005---20251228""}}"
5,truelayer,43cea894857fee2f247d618473fcff06,87c5eb9a7bd1c9f9afe11f94d25005bb,2025-12-28T00:00:00Z,"PAYMENT RECEIVED - THANK YOU",128.45,out,"{""timestamp"":""2025-12-28T00:00:00Z"",""description"":""PAYMENT RECEIVED - THANK YOU"",""transaction_type"":""CREDIT"",""transaction_category"":""CREDIT"",""transaction_classification"":[],""amount"":-128.45,""currency"":""GBP"",""transaction_id"":""87c5eb9a7bd1c9f9afe11f94d25005bb"",""provider_transaction_id"":""AT253620061000010069326---1313---20251228"",""normalised_provider_transaction_id"":""txn-aef699946f390249c"",""meta"":{""provider_reference"":""AT253620061000010069326"",""transaction_type"":""Credit"",""provider_id"":""AT253620061000010069326---1313---20251228""}}"
6,truelayer,43cea894857fee2f247d618473fcff06,9643467129f94b2b447836042b0403b2,2025-12-28T00:00:00Z,"PAYMENT RECEIVED - THANK YOU",30.0,out,"{""timestamp"":""2025-12-28T00:00:00Z"",""description"":""PAYMENT RECEIVED - THANK YOU"",""transaction_type"":""CREDIT"",""transaction_category"":""CREDIT"",""transaction_classification"":[],""amount"":-30,""currency"":""GBP"",""transaction_id"":""9643467129f94b2b447836042b0403b2"",""provider_transaction_id"":""AT253620061000010024808---1313---20251228"",""normalised_provider_transaction_id"":""txn-917b3375507b72da6"",""meta"":{""provider_reference"":""AT253620061000010024808"",""transaction_type"":""Credit"",""provider_id"":""AT253620061000010024808---1313---20251228""}}"
7,truelayer,43cea894857fee2f247d618473fcff06,a627e82001ad92bfa6e80bc063f12104,2025-12-28T00:00:00Z,"TRIP.COM LONDON",8.45,in,"{""timestamp"":""2025-12-28T00:00:00Z"",""description"":""TRIP.COM LONDON"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":8.45,""currency"":""GBP"",""transaction_id"":""a627e82001ad92bfa6e80bc063f12104"",""provider_transaction_id"":""AT253620057000010085520---0005---20251228"",""normalised_provider_transaction_id"":""txn-9cb08f89d0bfeec98"",""meta"":{""provider_reference"":""AT253620057000010085520"",""provider_merchant_name"":""TRIP.COM"",""address"":""UNIT 3003 30/F PAUL Y CENTRE,51 HUNG TO ROAD,KWUN TONG, null, 00000"",""transaction_type"":""Debit"",""provider_id"":""AT253620057000010085520---0005---20251228""}}"
8,truelayer,43cea894857fee2f247d618473fcff06,22a52dfe8a42b74619f2ef1b483334e2,2025-12-27T00:00:00Z,"STABLE BAR NR WELWYN",12.0,in,"{""timestamp"":""2025-12-27T00:00:00Z"",""description"":""STABLE BAR NR WELWYN"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":12,""currency"":""GBP"",""transaction_id"":""22a52dfe8a42b74619f2ef1b483334e2"",""provider_transaction_id"":""AT253620057000010084275---0005---20251227"",""normalised_provider_transaction_id"":""txn-677fe2c780796aa62"",""meta"":{""provider_reference"":""AT253620057000010084275"",""provider_merchant_name"":""TEWINBURY FARM HOTEL"",""address"":""B1000 HERTFORD ROAD, ENG, AL6 0JB"",""transaction_type"":""Debit"",""provider_id"":""AT253620057000010084275---0005---20251227""}}"
9,truelayer,43cea894857fee2f247d618473fcff06,631682783e910b0b701b2fef345cffc1,2025-12-27T00:00:00Z,"asos.com London",41.07,in,"{""timestamp"":""2025-12-27T00:00:00Z"",""description"":""asos.com London"",""transaction_type"":""DEBIT"",""transaction_category"":""DEBIT"",""transaction_classification"":[],""amount"":41.07,""currency"":""GBP"",""transaction_id"":""631682783e910b0b701b2fef345cffc1"",""provider_transaction_id"":""AT253630056000010062265---0005---20251227"",""normalised_provider_transaction_id"":""txn-36f15e43ec993712e"",""meta"":{""provider_reference"":""AT253630056000010062265"",""provider_merchant_name"":""ASOS"",""address"":""GREATER LONDON HOUSE HAMPSTEAD ROAD 2ND FLOOR, LND, NW1 7FB"",""transaction_type"":""Debit"",""provider_id"":""AT253630056000010062265---0005---20251227""}}"
10,truelayer,43cea894857fee2f247d618473fcff06,9f86995aa8bc181f71b8870906ee6f55,2025-12-26T00:00:00Z,"PAYMENT RECEIVED - THANK YOU",101.26,out,"{""timestamp"":""2025-12-26T00:00:00Z"",""description"":""PAYMENT RECEIVED - THANK YOU"",""transaction_type"":""CREDIT"",""transaction_category"":""CREDIT"",""transaction_classification"":[],""amount"":-101.26,""currency"":""GBP"",""transaction_id"":""9f86995aa8bc181f71b8870906ee6f55"",""provider_transaction_id"":""AT253600049000010069320---1313---20251226"",""normalised_provider_transaction_id"":""txn-15fdcbc649d5c2b39"",""meta"":{""provider_reference"":""AT253600049000010069320"",""transaction_type"":""Credit"",""provider_id"":""AT253600049000010069320---1313---20251226""}}"
